,laptop_ID,Company,TypeName,Inches,Ram,Weight,Price_euros,Width,Height,Touchscreen,CPU_Company,CPU_Type,CPU_GHZ,GPU_Company,GPU_Type,Memory_Size,Memory_Type,OpSys_Main,Model
0,599,Inspiron,2 in 1 Convertible,11.6,4.0,1.39,603.0,1366.0,768.0,1,Intel,M 7,1.0GHz,Intel,,128GB,SSD,Windows,3179
1,92,FX550IK-DM018T,Gaming,15.6,8.0,2.45,699.0,1920.0,1080.0,0,AMD,FX 9830,3GHz,AMD,RX 560,1TB,HDD,Windows,(FX-9830P/8GB/1TB/Radeon
2,744,ZBook,Workstation,15.6,16.0,2.6,2419.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,,256GB,SSD,Windows,15
3,729,Pavilion,2 in 1 Convertible,13.3,8.0,1.58,836.6,1366.0,768.0,1,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,X360
4,957,Tecra,Notebook,15.6,8.0,2.2,1119.0,1366.0,768.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,A50-C-1ZV
5,548,Vostro,Notebook,14.0,4.0,1.6,735.87,1920.0,1080.0,0,Intel,i3,2GHz,Intel,,128GB,SSD,Windows,5468
6,694,250,Notebook,15.6,4.0,1.86,612.61,1366.0,768.0,0,Intel,i5,2.5GHz,AMD,,500GB,HDD,Windows,G6
7,674,Latitude,Notebook,15.6,8.0,2.06,955.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,1TB,HDD,Windows,3580
8,983,IdeaPad,Notebook,15.6,6.0,2.4,695.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Nvidia,,256GB,SSD,Windows,310-15IKB
9,959,IdeaPad,Gaming,15.6,16.0,2.5,999.0,1920.0,1080.0,0,AMD,FX 8800,2.1GHz,AMD,,512GB,SSD +  1TB HDD,Windows,Y700-15ACZ
10,1013,EliteBook,Ultrabook,14.0,8.0,1.48,2089.0,1920.0,1080.0,0,Intel,i7,2.7GHz,Intel,,512GB,SSD,Windows,840
11,1077,Inspiron,Notebook,15.6,16.0,2.32,989.99,1920.0,1080.0,0,Intel,i7,2.7GHz,AMD,,2TB,HDD,Windows,5567
12,771,Pixelbook,Ultrabook,12.3,8.0,1.1,1559.0,2400.0,1600.0,1,Intel,i5,1.2GHz,Intel,,256GB,SSD,Chrome,(Core
13,507,VivoBook,Netbook,11.6,4.0,1.2,340.0,1366.0,768.0,0,Intel,N3350,1.1GHz,Intel,,64GB,Flash Storage,Windows,E201NA
